date,session_key,y,x,z,meeting_key,driver_number
2024-04-07T05:27:21.922000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:22.122000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:22.342000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:22.722000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:23.140000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:23.441000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:23.641000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:23.921000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:24.121000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:24.301000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:24.421000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:24.741000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:25.082000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:25.381000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:25.581000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:25.741000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:26.021000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:26.182000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:26.341000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:26.601000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:26.821000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:27.201000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:27.502000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:27.622000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:27.802000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:28.122000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:28.362000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:28.402000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:28.642000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:28.841000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:29.022000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:29.401000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:29.502000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:29.781000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:30.161000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:30.421000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:30.541000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:30.781000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:31.261000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:31.541000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:31.882000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:32.041000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:32.462000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:32.581000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:32.742000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:32.982000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:33.201000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:33.381000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:33.621000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:33.862000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:34.021000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:34.221000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:34.521000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:34.942000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:35.202000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:35.402000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:35.482000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:35.782000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:36.002000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:36.221000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:36.481000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:36.681000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:36.861000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:37.161000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:37.561000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:37.981000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:38.281000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:38.581000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:38.901000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:39.201000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:39.441000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:39.621000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:39.782000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:40.042000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:40.302000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:40.521000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:40.962000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:41.242000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:41.601000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:41.861000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:42.222000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:27:42.502000+00:00,9496,-3383,3693,766,1232,1
